127.38	289.89
127.60	284.74
124.26	288.46
117.27	297.14
93.49	303.62
87.54	319.28
70.77	334.51
58.29	340.64
45.77	356.84
38.39	359.34
31.49	358.86
32.37	357.32
36.25	352.22
56.89	347.41
64.27	329.46
77.61	318.19
97.60	308.25
100.33	288.46
118.28	286.63
127.88	285.84
128.28	284.92
127.40	285.91
123.49	289.93
113.93	299.55
91.14	305.22
86.20	325.42
65.68	335.54
56.95	342.49
43.90	357.36
35.53	359.25
31.29	358.73
32.65	355.98
38.47	351.50
61.94	345.01
64.97	326.18
83.52	317.42
97.80	302.19
102.08	286.98
123.00	286.66
128.19	285.45
128.14	285.05
127.09	286.39
122.67	291.64
109.14	302.06
91.21	307.44
84.46	329.92
59.90	336.62
53.90	345.15
43.20	357.43
32.26	359.10
31.40	358.75
33.71	355.14
42.69	350.90
64.45	342.40
65.85	322.01
90.81	317.37
98.35	297.51
106.52	286.81
127.60	286.46
128.21	285.27
128.12	285.10
126.41	287.09
121.46	293.31
104.96	303.84
90.77	309.79
80.53	332.14
59.28	338.42
51.68	349.52
42.71	358.55
31.46	359.21
31.79	358.51
34.43	354.09
47.42	350.60
63.46	336.58
68.53	320.21
96.39	316.14
98.50	294.02
111.49	286.90
127.97	286.28
128.14	285.05
128.03	285.29
125.93	287.75
120.15	295.09
99.49	303.64
89.17	312.96
75.30	333.26
59.02	339.43
48.12	353.14
40.30	358.75
31.38	358.68
31.88	357.91
35.16	353.23
52.01	349.48
64.16	332.84
72.09	319.28
98.20	313.48
98.72	290.70
115.22	286.66
127.77	286.33
128.30	284.90
127.84	285.38
124.54	288.54
117.82	296.76
93.47	303.64
87.69	318.65
70.07	333.98
58.27	340.62
46.05	356.75
38.10	359.21
31.77	358.92
32.70	357.69
36.21	352.49
57.15	348.93
64.53	329.46
78.11	319.28
98.11	309.59
100.33	288.50
118.43	286.79
128.12	286.13
128.32	284.92
127.53	285.91
123.73	289.97
114.90	300.06
90.97	305.18
87.63	326.16
65.96	335.79
56.76	342.22
43.48	357.19
36.83	359.56
31.62	358.86
32.81	356.22
38.63	351.74
61.98	345.72
64.75	326.12
83.83	318.38
98.02	302.89
102.08	287.25
123.33	286.77
127.90	285.51
128.32	284.94
127.20	286.39
123.11	291.86
109.80	302.15
91.41	307.31
85.06	330.03
60.60	336.25
54.89	345.06
43.68	358.00
33.29	359.43
31.64	359.06
33.68	355.19
42.39	351.12
64.27	342.25
